country,region,year,renewable_share_pct,gdp_per_capita_usd,total_energy_twh,population_millions
Denmark,Europe,2008,20.58,42515.34,196.27,5.429
Denmark,Europe,2009,22.42,41414.66,200.13,5.445
Denmark,Europe,2010,26.27,43379.15,198.67,5.461
Denmark,Europe,2011,29.2,45366.83,195.91,5.478
Denmark,Europe,2012,31.74,47914.78,193.23,5.494
Denmark,Europe,2013,36.99,47610.99,192.12,5.51
Denmark,Europe,2014,41.57,49821.38,196.16,5.527
Denmark,Europe,2015,47.28,52346.01,193.93,5.544
Denmark,Europe,2016,52.47,53889.55,193.92,5.56
Denmark,Europe,2017,56.84,55087.95,189.2,5.577
Denmark,Europe,2018,58.65,57210.25,193.91,5.594
Denmark,Europe,2019,60.86,58093.65,192.57,5.61
Denmark,Europe,2020,61.49,61158.54,189.15,5.627
Denmark,Europe,2021,63.73,63256.49,189.95,5.644
Denmark,Europe,2022,63.9,65945.66,190.93,5.661
Denmark,Europe,2023,64.68,67433.57,190.1,5.678
France,Europe,2000,14.91,22447.56,2646.19,59.0
France,Europe,2001,15.66,23376.12,2656.09,59.236
France,Europe,2002,16.47,24495.16,2642.24,59.473
France,Europe,2003,15.67,25227.6,2610.65,59.711
France,Europe,2004,16.66,25853.51,2646.03,59.95
France,Europe,2005,18.06,25922.1,2675.1,60.189
France,Europe,2006,17.16,26296.95,2638.79,60.43
France,Europe,2007,17.55,28042.98,2642.71,60.672
France,Europe,2008,18.6,28617.71,2657.31,60.915
France,Europe,2009,19.42,29850.41,2654.69,61.158
France,Europe,2010,19.35,30815.26,2609.34,61.403
France,Europe,2011,20.58,31431.52,2637.65,61.649
France,Europe,2012,20.73,32631.61,2596.12,61.895
France,Europe,2013,21.16,33300.77,2563.42,62.143
France,Europe,2014,21.42,34407.41,2561.12,62.391
France,Europe,2015,22.92,34741.33,2529.81,62.641
France,Europe,2016,21.83,36019.58,2536.52,62.891
France,Europe,2017,21.19,37259.69,2541.57,63.143
France,Europe,2018,23.79,38683.06,2562.61,63.396
France,Europe,2019,22.99,39073.69,2577.29,63.649
France,Europe,2020,23.76,40746.27,2490.32,63.904
France,Europe,2021,24.92,41420.91,2526.67,64.159
France,Europe,2022,23.6,42700.93,2482.28,64.416
France,Europe,2023,24.25,44547.48,2511.87,64.674
Germany,Europe,2000,5.51,23943.61,3785.44,82.0
Germany,Europe,2001,5.81,24805.35,3831.96,82.082
Germany,Europe,2002,5.77,25416.98,3712.11,82.164
Germany,Europe,2003,6.18,26724.31,3697.33,82.246
Germany,Europe,2004,7.11,27266.9,3731.75,82.328
Germany,Europe,2005,6.86,27870.91,3670.68,82.411
Germany,Europe,2006,7.13,28800.72,3662.5,82.493
Germany,Europe,2007,7.3,30446.1,3634.34,82.576
Germany,Europe,2008,7.93,32149.59,3630.25,82.658
Germany,Europe,2009,10.11,32557.36,3646.52,82.741
Germany,Europe,2010,12.43,33530.05,3577.16,82.824
Germany,Europe,2011,16.29,34887.15,3574.94,82.907
Germany,Europe,2012,18.79,36629.64,3457.96,82.989
Germany,Europe,2013,23.39,37276.37,3507.04,83.072
Germany,Europe,2014,26.9,38187.5,3457.89,83.155
Germany,Europe,2015,30.81,40397.43,3423.73,83.239
Germany,Europe,2016,34.82,41360.89,3414.53,83.322
Germany,Europe,2017,38.16,43480.69,3412.27,83.405
Germany,Europe,2018,42.35,44075.48,3433.94,83.489
Germany,Europe,2019,42.39,44622.5,3337.11,83.572
Germany,Europe,2020,44.66,46046.74,3362.32,83.656
Germany,Europe,2021,44.48,49822.77,3324.56,83.739
Germany,Europe,2022,46.17,51580.99,3309.42,83.823
Germany,Europe,2023,46.23,51859.98,3333.09,83.907
Iceland,Europe,2000,85.18,29807.25,18.12,0.28
Iceland,Europe,2001,85.84,31054.39,18.17,0.282
Iceland,Europe,2002,87.51,32747.54,18.37,0.284
Iceland,Europe,2003,88.09,33993.87,18.59,0.287
Iceland,Europe,2004,86.75,35400.44,18.37,0.289
Iceland,Europe,2005,87.48,36849.15,18.74,0.291
Iceland,Europe,2006,88.65,39324.56,18.88,0.294
Iceland,Europe,2007,88.67,39407.4,19.01,0.296
Iceland,Europe,2008,89.12,40943.53,19.25,0.298
Iceland,Europe,2009,88.87,42413.39,19.76,0.301
Iceland,Europe,2010,90.14,45095.48,19.47,0.303
Iceland,Europe,2011,90.31,47286.09,20.0,0.306
Iceland,Europe,2012,90.1,48305.79,19.65,0.308
Iceland,Europe,2013,90.94,49720.55,20.09,0.311
Iceland,Europe,2014,90.74,51753.66,20.37,0.313
Iceland,Europe,2015,90.14,55063.65,20.64,0.316
Iceland,Europe,2016,91.06,57380.48,20.84,0.318
Iceland,Europe,2017,90.44,59535.34,21.04,0.321
Iceland,Europe,2018,91.72,60840.86,20.99,0.323
Iceland,Europe,2019,91.33,64174.73,21.15,0.326
Iceland,Europe,2020,91.42,66667.71,21.62,0.328
Iceland,Europe,2021,91.28,69483.24,21.58,0.331
Iceland,Europe,2022,92.58,73012.9,21.53,0.334
Iceland,Europe,2023,91.91,75251.54,21.75,0.336
India,Asia,2000,28.22,451.74,5315.71,1056.0
India,Asia,2001,29.05,497.06,5658.09,1067.616
India,Asia,2002,30.57,521.3,5796.77,1079.36
India,Asia,2003,29.18,557.7,6051.63,1091.233
India,Asia,2004,28.41,606.4,6303.29,1103.236
India,Asia,2005,28.88,663.36,6576.43,1115.372
India,Asia,2006,27.53,694.4,6865.97,1127.641
India,Asia,2007,28.17,774.79,7209.54,1140.045
India,Asia,2008,28.29,821.58,7605.4,1152.586
India,Asia,2009,28.07,909.3,7989.56,1165.264
India,Asia,2010,28.5,930.1,8335.65,1178.082
India,Asia,2011,28.13,1028.91,8650.16,1191.041
India,Asia,2012,28.23,1095.28,9202.33,1204.142
India,Asia,2013,27.33,1197.72,9612.78,1217.388
India,Asia,2014,28.2,1313.72,9967.82,1230.779
India,Asia,2015,28.55,1408.78,10377.51,1244.318
India,Asia,2016,26.92,1518.73,10988.98,1258.005
India,Asia,2017,26.89,1641.4,11456.24,1271.843
India,Asia,2018,28.15,1781.13,11790.59,1285.833
India,Asia,2019,27.16,1887.44,12508.91,1299.978
India,Asia,2020,28.04,2090.23,13130.93,1314.277
India,Asia,2021,26.87,2254.39,13579.32,1328.734
India,Asia,2022,27.94,2423.01,14363.85,1343.35
India,Asia,2023,27.08,2621.7,14781.78,1358.127
Japan,Asia,2000,5.8,39301.52,5023.56,127.0
Japan,Asia,2001,6.49,38432.2,4940.82,126.873
Japan,Asia,2002,6.33,39274.18,4914.54,126.746
Japan,Asia,2003,7.44,37947.64,4969.4,126.619
Japan,Asia,2004,6.51,37716.79,4819.87,126.493
Japan,Asia,2005,8.0,38161.21,4721.97,126.366
Japan,Asia,2006,9.26,38059.43,4884.53,126.24
Japan,Asia,2007,9.53,37656.43,4897.42,126.114
Japan,Asia,2008,11.34,36242.43,4725.23,125.988
Japan,Asia,2009,12.85,37259.7,4622.16,125.862
Japan,Asia,2010,11.69,36171.54,4668.1,125.736
Japan,Asia,2011,12.63,36651.95,4638.72,125.61
Japan,Asia,2012,14.01,35530.49,4612.85,125.484
Japan,Asia,2013,15.58,36331.52,4540.3,125.359
Japan,Asia,2014,14.61,35441.21,4587.85,125.234
Japan,Asia,2015,16.24,34975.77,4555.37,125.108
Japan,Asia,2016,17.92,35829.36,4434.7,124.983
Japan,Asia,2017,16.57,35366.68,4503.83,124.858
Japan,Asia,2018,17.54,34706.76,4534.53,124.733
Japan,Asia,2019,18.79,35579.01,4421.87,124.609
Japan,Asia,2020,19.47,34385.14,4370.64,124.484
Japan,Asia,2021,21.01,34424.64,4350.58,124.36
Japan,Asia,2022,21.41,34341.39,4354.92,124.235
Japan,Asia,2023,20.94,33683.97,4225.58,124.111
Kenya,Africa,2000,69.05,425.09,89.07,31.0
Kenya,Africa,2001,70.39,456.82,95.33,31.806
Kenya,Africa,2002,70.87,493.42,96.79,32.633
Kenya,Africa,2003,71.77,516.42,99.15,33.481
Kenya,Africa,2004,73.16,568.51,104.35,34.352
Kenya,Africa,2005,72.66,615.82,106.94,35.245
Kenya,Africa,2006,75.06,653.2,110.56,36.161
Kenya,Africa,2007,75.93,680.16,115.4,37.102
Kenya,Africa,2008,76.11,745.12,117.28,38.066
Kenya,Africa,2009,75.56,808.7,123.44,39.056
Kenya,Africa,2010,77.23,832.75,129.79,40.071
Kenya,Africa,2011,79.35,903.26,132.47,41.113
Kenya,Africa,2012,77.72,996.53,136.0,42.182
Kenya,Africa,2013,79.97,1058.08,140.62,43.279
Kenya,Africa,2014,80.25,1136.01,145.73,44.404
Kenya,Africa,2015,82.22,1243.37,151.11,45.559
Kenya,Africa,2016,82.12,1305.09,156.26,46.743
Kenya,Africa,2017,83.55,1402.2,163.88,47.959
Kenya,Africa,2018,84.43,1548.1,165.21,49.206
Kenya,Africa,2019,85.97,1588.7,175.57,50.485
Kenya,Africa,2020,85.53,1687.15,179.53,51.798
Kenya,Africa,2021,86.66,1841.22,187.29,53.144
Kenya,Africa,2022,86.33,1972.99,191.0,54.526
Kenya,Africa,2023,88.71,2083.41,202.66,55.944
Mexico,North America,2000,20.45,6947.46,1602.4,100.0
Mexico,North America,2001,19.91,7190.87,1628.98,101.2
Mexico,North America,2002,18.82,7222.95,1646.87,102.414
Mexico,North America,2003,20.32,7424.93,1675.28,103.643
Mexico,North America,2004,19.07,7684.46,1688.51,104.887
Mexico,North America,2005,18.31,7658.12,1739.62,106.146
Mexico,North America,2006,18.61,7971.18,1730.66,107.419
Mexico,North America,2007,18.56,8113.92,1782.8,108.709
Mexico,North America,2008,19.15,8074.39,1775.9,110.013
Mexico,North America,2009,18.9,8476.32,1811.24,111.333
Mexico,North America,2010,18.81,8609.35,1817.9,112.669
Mexico,North America,2011,19.33,8702.45,1871.7,114.021
Mexico,North America,2012,19.12,8760.28,1916.5,115.389
Mexico,North America,2013,19.06,8921.0,1914.06,116.774
Mexico,North America,2014,19.08,9142.5,1938.42,118.175
Mexico,North America,2015,19.16,9476.25,1947.37,119.594
Mexico,North America,2016,17.48,9448.88,1992.2,121.029
Mexico,North America,2017,18.49,9840.7,1992.37,122.481
Mexico,North America,2018,17.36,9784.85,2034.11,123.951
Mexico,North America,2019,18.66,10137.32,2086.19,125.438
Mexico,North America,2020,18.6,10387.3,2138.33,126.943
Mexico,North America,2021,19.19,10963.95,2200.03,128.467
Mexico,North America,2022,19.25,10563.11,2157.02,130.008
Mexico,North America,2023,18.62,11242.88,2231.58,131.568
Nigeria,Africa,2000,75.75,753.81,715.6,123.0
Nigeria,Africa,2001,73.49,801.46,730.79,126.198
Nigeria,Africa,2002,71.14,810.19,755.23,129.479
Nigeria,Africa,2003,71.89,897.41,773.38,132.846
Nigeria,Africa,2004,71.07,922.58,797.48,136.3
Nigeria,Africa,2005,69.37,954.93,824.41,139.843
Nigeria,Africa,2006,69.88,1011.5,857.31,143.479
Nigeria,Africa,2007,69.7,1028.07,895.11,147.21
Nigeria,Africa,2008,69.44,1119.46,914.14,151.037
Nigeria,Africa,2009,68.85,1146.38,934.63,154.964
Nigeria,Africa,2010,68.58,1202.77,983.05,158.993
Nigeria,Africa,2011,68.97,1254.2,1017.14,163.127
Nigeria,Africa,2012,68.51,1311.76,1048.63,167.368
Nigeria,Africa,2013,65.76,1400.31,1084.94,171.72
Nigeria,Africa,2014,67.01,1456.99,1110.18,176.185
Nigeria,Africa,2015,66.83,1534.93,1140.01,180.765
Nigeria,Africa,2016,65.61,1591.75,1179.14,185.465
Nigeria,Africa,2017,66.46,1680.09,1209.44,190.287
Nigeria,Africa,2018,66.9,1735.14,1273.98,195.235
Nigeria,Africa,2019,65.26,1889.86,1312.7,200.311
Nigeria,Africa,2020,65.88,1870.15,1352.08,205.519
Nigeria,Africa,2021,64.9,2043.71,1362.32,210.863
Nigeria,Africa,2022,64.82,2143.75,1433.01,216.345
Nigeria,Africa,2023,65.89,2171.88,1516.81,221.97
Norway,Europe,2000,67.45,37246.06,207.85,4.5
Norway,Europe,2001,69.6,38952.9,211.21,4.536
Norway,Europe,2002,70.69,41398.4,212.13,4.572
Norway,Europe,2003,72.33,42242.51,215.4,4.609
Norway,Europe,2004,72.96,44311.87,215.13,4.646
Norway,Europe,2005,74.62,47279.69,214.96,4.683
Norway,Europe,2006,76.2,48002.84,218.19,4.72
Norway,Europe,2007,76.94,50777.8,213.33,4.758
Norway,Europe,2008,78.71,51531.47,215.36,4.796
Norway,Europe,2009,79.34,54219.92,215.59,4.835
Norway,Europe,2010,80.83,55791.45,217.62,4.873
Norway,Europe,2011,82.12,58598.77,216.32,4.912
Norway,Europe,2012,82.93,62064.66,221.61,4.952
Norway,Europe,2013,85.25,62130.58,220.59,4.991
Norway,Europe,2014,85.98,66808.05,218.69,5.031
Norway,Europe,2015,87.57,69319.54,220.57,5.071
Norway,Europe,2016,89.16,71239.94,224.42,5.112
Norway,Europe,2017,90.44,73179.47,226.49,5.153
Norway,Europe,2018,91.88,77926.39,230.0,5.194
Norway,Europe,2019,92.72,80362.52,232.99,5.236
Norway,Europe,2020,93.83,84592.43,228.23,5.277
Norway,Europe,2021,95.34,87753.1,225.93,5.32
Norway,Europe,2022,95.68,93483.11,224.21,5.362
Norway,Europe,2023,97.13,94658.92,230.62,5.405
Saudi Arabia,Middle East,2000,0.0,9013.37,1085.92,20.0
Saudi Arabia,Middle East,2001,0.78,9601.92,1168.37,20.5
Saudi Arabia,Middle East,2002,0.0,10232.58,1221.03,21.012
Saudi Arabia,Middle East,2003,0.0,10565.11,1270.84,21.538
Saudi Arabia,Middle East,2004,0.0,10969.56,1313.04,22.076
Saudi Arabia,Middle East,2005,1.11,11451.27,1386.57,22.628
Saudi Arabia,Middle East,2006,0.42,12214.6,1429.27,23.194
Saudi Arabia,Middle East,2007,0.74,12792.18,1495.84,23.774
Saudi Arabia,Middle East,2008,0.0,13314.62,1542.32,24.368
Saudi Arabia,Middle East,2009,0.0,14663.29,1635.37,24.977
Saudi Arabia,Middle East,2010,0.6,15369.37,1702.56,25.602
Saudi Arabia,Middle East,2011,0.38,16018.13,1754.24,26.242
Saudi Arabia,Middle East,2012,0.69,16342.8,1855.7,26.898
Saudi Arabia,Middle East,2013,0.26,17660.19,1937.88,27.57
Saudi Arabia,Middle East,2014,0.56,18522.58,2062.32,28.259
Saudi Arabia,Middle East,2015,0.5,19432.19,2135.16,28.966
Saudi Arabia,Middle East,2016,0.88,20692.24,2210.84,29.69
Saudi Arabia,Middle East,2017,0.91,21575.22,2314.9,30.432
Saudi Arabia,Middle East,2018,0.0,22736.5,2413.18,31.193
Saudi Arabia,Middle East,2019,0.0,23886.5,2514.55,31.973
Saudi Arabia,Middle East,2020,1.07,25022.53,2603.52,32.772
Saudi Arabia,Middle East,2021,1.19,25493.71,2745.21,33.592
Saudi Arabia,Middle East,2022,0.0,27596.16,2850.52,34.431
Saudi Arabia,Middle East,2023,0.0,28758.06,2962.49,35.292
South Africa,Africa,2000,5.46,2992.28,996.25,45.0
South Africa,Africa,2001,6.58,3032.01,1015.25,45.63
South Africa,Africa,2002,6.96,3259.52,1016.7,46.269
South Africa,Africa,2003,6.44,3400.6,1035.06,46.917
South Africa,Africa,2004,7.38,3399.78,1040.41,47.573
South Africa,Africa,2005,7.64,3577.04,1075.85,48.239
South Africa,Africa,2006,7.24,3645.0,1074.73,48.915
South Africa,Africa,2007,7.15,3777.66,1080.76,49.6
South Africa,Africa,2008,7.38,3992.46,1108.63,50.294
South Africa,Africa,2009,8.4,4081.89,1084.07,50.998
South Africa,Africa,2010,8.8,4336.99,1098.26,51.712
South Africa,Africa,2011,8.39,4342.46,1142.71,52.436
South Africa,Africa,2012,9.15,4594.5,1147.39,53.17
South Africa,Africa,2013,9.73,4691.36,1162.76,53.915
South Africa,Africa,2014,10.02,4905.75,1157.6,54.669
South Africa,Africa,2015,10.84,4983.31,1186.34,55.435
South Africa,Africa,2016,10.94,5188.06,1224.28,56.211
South Africa,Africa,2017,9.83,5363.68,1224.01,56.998
South Africa,Africa,2018,11.71,5490.64,1230.01,57.796
South Africa,Africa,2019,10.64,5811.44,1236.56,58.605
South Africa,Africa,2020,11.84,6013.06,1251.31,59.425
South Africa,Africa,2021,11.52,6217.53,1243.62,60.257
South Africa,Africa,2022,11.49,6524.61,1288.57,61.101
South Africa,Africa,2023,10.92,6743.49,1310.99,61.956
South Korea,Asia,2000,1.1,11871.5,1855.91,47.0
South Korea,Asia,2001,1.11,12291.88,1916.61,47.141
South Korea,Asia,2002,2.8,13267.68,1953.12,47.282
South Korea,Asia,2003,1.94,13764.34,2003.7,47.424
South Korea,Asia,2004,3.39,14819.63,2067.75,47.567
South Korea,Asia,2005,2.08,15045.86,2077.83,47.709
South Korea,Asia,2006,3.44,15714.77,2099.72,47.852
South Korea,Asia,2007,3.63,16285.55,2159.72,47.996
South Korea,Asia,2008,3.26,17269.55,2224.14,48.14
South Korea,Asia,2009,4.24,17994.8,2220.01,48.284
South Korea,Asia,2010,5.21,18979.03,2262.7,48.429
South Korea,Asia,2011,4.63,19314.68,2338.85,48.574
South Korea,Asia,2012,4.16,20209.36,2363.77,48.72
South Korea,Asia,2013,5.51,21104.13,2428.6,48.866
South Korea,Asia,2014,5.33,22476.18,2457.41,49.013
South Korea,Asia,2015,6.01,23733.16,2520.92,49.16
South Korea,Asia,2016,6.52,24088.21,2523.41,49.307
South Korea,Asia,2017,5.89,25184.27,2596.8,49.455
South Korea,Asia,2018,6.29,26610.2,2639.73,49.604
South Korea,Asia,2019,7.9,27574.29,2661.63,49.753
South Korea,Asia,2020,7.64,29333.77,2701.47,49.902
South Korea,Asia,2021,6.77,29200.39,2814.47,50.052
South Korea,Asia,2022,9.12,31188.42,2837.18,50.202
South Korea,Asia,2023,9.16,32612.7,2870.35,50.352
United Arab Emirates,Middle East,2000,0.31,33794.98,356.67,3.2
United Arab Emirates,Middle East,2001,0.45,34509.18,368.0,3.296
United Arab Emirates,Middle East,2002,0.0,34913.38,393.43,3.395
United Arab Emirates,Middle East,2003,0.58,34561.88,406.0,3.497
United Arab Emirates,Middle East,2004,1.47,35302.56,427.69,3.602
United Arab Emirates,Middle East,2005,1.72,36735.65,450.57,3.71
United Arab Emirates,Middle East,2006,1.92,35731.6,486.85,3.821
United Arab Emirates,Middle East,2007,1.55,35607.83,500.16,3.936
United Arab Emirates,Middle East,2008,1.23,36151.38,517.57,4.054
United Arab Emirates,Middle East,2009,1.31,37625.68,553.17,4.175
United Arab Emirates,Middle East,2010,2.38,38050.86,573.75,4.301
United Arab Emirates,Middle East,2011,2.62,38394.12,602.26,4.43
United Arab Emirates,Middle East,2012,3.38,39603.96,641.9,4.562
United Arab Emirates,Middle East,2013,3.49,37757.03,668.81,4.699
United Arab Emirates,Middle East,2014,2.96,40013.68,704.69,4.84
United Arab Emirates,Middle East,2015,2.51,41168.01,738.7,4.985
United Arab Emirates,Middle East,2016,3.29,39991.16,778.92,5.135
United Arab Emirates,Middle East,2017,3.83,40903.53,819.4,5.289
United Arab Emirates,Middle East,2018,3.79,41131.83,840.98,5.448
United Arab Emirates,Middle East,2019,3.78,41506.24,907.37,5.611
United Arab Emirates,Middle East,2020,4.5,42336.68,938.08,5.78
United Arab Emirates,Middle East,2021,4.26,43945.75,981.38,5.953
United Arab Emirates,Middle East,2022,4.41,44708.67,1045.96,6.132
United Arab Emirates,Middle East,2023,5.19,43778.28,1100.92,6.315
United Kingdom,Europe,2000,1.82,28732.45,2383.89,58.9
United Kingdom,Europe,2001,1.99,28878.55,2383.16,59.194
United Kingdom,Europe,2002,1.99,29761.34,2378.91,59.49
United Kingdom,Europe,2003,2.36,29986.26,2342.14,59.788
United Kingdom,Europe,2004,3.35,30892.91,2251.64,60.087
United Kingdom,Europe,2005,1.23,31291.41,2288.1,60.387
United Kingdom,Europe,2006,3.09,32882.02,2259.73,60.689
United Kingdom,Europe,2007,4.02,32612.31,2244.54,60.993
United Kingdom,Europe,2008,5.11,34415.96,2248.46,61.298
United Kingdom,Europe,2009,6.18,34754.91,2145.14,61.604
United Kingdom,Europe,2010,7.41,36340.47,2155.38,61.912
United Kingdom,Europe,2011,11.42,37004.77,2158.97,62.222
United Kingdom,Europe,2012,15.75,38517.84,2091.0,62.533
United Kingdom,Europe,2013,17.88,38838.46,2134.17,62.845
United Kingdom,Europe,2014,23.72,38435.33,2089.54,63.16
United Kingdom,Europe,2015,27.33,40292.55,2078.28,63.476
United Kingdom,Europe,2016,31.36,40599.92,2028.36,63.793
