year,country,region,production_million_bags,export_value_million_usd,domestic_consumption_kg_per_capita,world_price_index
2023,Ethiopia,Africa,7.8,551.3,4.34,114.0
2000,Guatemala,Central America,3.08,209.5,2.03,120.0
2001,Guatemala,Central America,2.95,245.2,2.12,136.6
2002,Guatemala,Central America,2.92,278.0,2.08,146.0
2003,Guatemala,Central America,3.0,288.6,2.03,151.3
2004,Guatemala,Central America,3.1,314.1,2.17,162.5
2005,Guatemala,Central America,3.2,329.9,2.39,171.9
2006,Guatemala,Central America,3.1,300.6,2.23,167.3
2007,Guatemala,Central America,3.06,301.0,2.28,164.7
2008,Guatemala,Central America,3.05,311.9,2.36,170.1
2009,Guatemala,Central America,3.05,343.4,2.34,169.5
2010,Guatemala,Central America,3.06,284.4,2.28,165.6
2011,Guatemala,Central America,3.05,371.7,2.28,195.6
2012,Guatemala,Central America,3.22,320.1,2.34,146.4
2013,Guatemala,Central America,3.4,294.3,2.38,141.1
2014,Guatemala,Central America,3.38,282.6,2.51,131.8
2015,Guatemala,Central America,3.3,272.1,2.47,131.0
2016,Guatemala,Central America,3.39,237.0,2.53,113.3
2017,Guatemala,Central America,3.35,243.5,2.54,116.1
2018,Guatemala,Central America,3.34,243.3,2.51,110.9
2019,Guatemala,Central America,3.38,225.3,2.21,105.6
2020,Guatemala,Central America,3.41,170.5,2.35,98.6
2021,Guatemala,Central America,3.54,350.3,2.42,155.8
2022,Guatemala,Central America,3.44,353.5,2.51,155.1
2023,Guatemala,Central America,3.5,276.6,2.63,127.5
2000,Honduras,Central America,3.67,261.8,1.97,118.1
2001,Honduras,Central America,3.83,324.6,1.85,140.6
2002,Honduras,Central America,3.81,327.7,1.84,141.0
2003,Honduras,Central America,3.73,371.0,1.88,154.4
2004,Honduras,Central America,3.98,390.0,1.94,163.6
2005,Honduras,Central America,4.32,438.3,1.82,172.0
2006,Honduras,Central America,4.45,474.4,2.02,173.6
2007,Honduras,Central America,4.8,534.4,1.94,167.3
2008,Honduras,Central America,4.77,538.1,1.92,168.9
2009,Honduras,Central America,4.91,479.0,2.0,161.1
2010,Honduras,Central America,4.94,486.0,1.94,153.9
2011,Honduras,Central America,5.08,564.7,1.94,203.7
2012,Honduras,Central America,5.13,427.3,2.04,140.3
2013,Honduras,Central America,5.06,429.9,2.02,138.7
2014,Honduras,Central America,5.06,395.1,2.11,132.5
2015,Honduras,Central America,5.3,425.6,2.12,127.1
2016,Honduras,Central America,5.34,434.2,2.08,119.1
2017,Honduras,Central America,5.57,370.6,2.02,111.4
2018,Honduras,Central America,5.71,352.0,2.12,104.0
2019,Honduras,Central America,5.84,393.3,2.08,108.4
2020,Honduras,Central America,5.85,378.8,2.15,100.6
2021,Honduras,Central America,5.95,574.3,2.19,151.4
2022,Honduras,Central America,5.82,547.4,2.22,152.1
2023,Honduras,Central America,5.9,424.4,2.09,114.9
2000,India,South Asia,3.95,314.1,0.95,132.1
2001,India,South Asia,3.98,325.5,0.93,136.3
2002,India,South Asia,3.94,375.0,0.86,150.3
2003,India,South Asia,4.05,374.0,0.94,156.9
2004,India,South Asia,4.16,409.7,0.91,155.2
2005,India,South Asia,4.39,452.2,0.95,160.4
2006,India,South Asia,4.69,516.6,0.94,165.8
2007,India,South Asia,4.5,478.8,0.94,169.2
2008,India,South Asia,4.53,464.5,0.96,169.8
2009,India,South Asia,4.77,477.6,0.89,170.3
2010,India,South Asia,4.62,537.5,0.97,166.6
2011,India,South Asia,4.65,542.8,0.99,191.3
2012,India,South Asia,4.83,414.0,1.03,146.3
2013,India,South Asia,5.08,412.6,1.05,141.5
2014,India,South Asia,4.86,425.4,1.01,139.9
2015,India,South Asia,4.83,382.0,0.96,123.8
2016,India,South Asia,5.06,364.5,1.12,118.6
2017,India,South Asia,5.17,389.0,1.01,112.0
2018,India,South Asia,5.43,380.9,1.03,111.3
2019,India,South Asia,5.94,420.7,1.06,107.7
2020,India,South Asia,5.96,333.1,1.04,90.3
2021,India,South Asia,6.09,573.8,1.01,152.7
2022,India,South Asia,5.95,572.1,1.08,151.5
2023,India,South Asia,5.8,404.6,1.12,108.3
2000,Indonesia,Southeast Asia,7.72,670.0,1.24,137.0
2001,Indonesia,Southeast Asia,7.55,646.2,1.18,137.7
2002,Indonesia,Southeast Asia,7.26,640.4,1.26,151.2
2003,Indonesia,Southeast Asia,7.22,729.6,1.27,154.0
2004,Indonesia,Southeast Asia,7.03,760.2,1.17,168.2
2005,Indonesia,Southeast Asia,7.19,693.3,1.23,165.2
2006,Indonesia,Southeast Asia,7.51,837.7,1.24,174.3
2007,Indonesia,Southeast Asia,7.62,780.4,1.22,165.0
2008,Indonesia,Southeast Asia,7.79,809.7,1.36,165.2
2009,Indonesia,Southeast Asia,7.68,705.2,1.32,167.3
2010,Indonesia,Southeast Asia,8.15,827.0,1.41,160.4
2011,Indonesia,Southeast Asia,7.84,899.9,1.36,190.8
2012,Indonesia,Southeast Asia,7.85,735.8,1.36,140.7
2013,Indonesia,Southeast Asia,8.39,721.8,1.4,142.8
2014,Indonesia,Southeast Asia,8.59,732.6,1.38,136.0
2015,Indonesia,Southeast Asia,8.61,641.3,1.37,125.5
2016,Indonesia,Southeast Asia,8.67,642.8,1.45,117.3
2017,Indonesia,Southeast Asia,8.84,590.4,1.49,108.4
2018,Indonesia,Southeast Asia,9.69,610.5,1.43,106.0
2019,Indonesia,Southeast Asia,9.39,643.3,1.5,110.4
2020,Indonesia,Southeast Asia,9.46,614.2,1.47,100.5
2021,Indonesia,Southeast Asia,9.65,967.1,1.34,163.3
2022,Indonesia,Southeast Asia,9.79,975.2,1.47,164.3
2023,Indonesia,Southeast Asia,10.0,705.8,1.4,123.8
2000,Mexico,Central America,5.39,449.5,1.49,132.0
2001,Mexico,Central America,5.46,492.1,1.68,138.4
2002,Mexico,Central America,5.45,512.0,1.58,151.3
2003,Mexico,Central America,5.58,529.6,1.67,150.4
2004,Mexico,Central America,5.57,605.3,1.66,166.1
2005,Mexico,Central America,5.52,540.7,1.69,160.5
2006,Mexico,Central America,5.44,548.0,1.71,167.4
2007,Mexico,Central America,5.39,540.7,1.73,167.0
2008,Mexico,Central America,5.21,543.4,1.75,166.3
2009,Mexico,Central America,4.9,475.4,1.84,160.3
2010,Mexico,Central America,4.87,420.1,1.63,155.5
2011,Mexico,Central America,4.84,599.0,1.77,199.2
2012,Mexico,Central America,5.0,407.9,1.82,151.9
2013,Mexico,Central America,4.95,421.9,1.78,145.7
2014,Mexico,Central America,4.85,370.0,1.8,128.7
2015,Mexico,Central America,4.98,438.5,1.82,130.1
2016,Mexico,Central America,4.91,382.7,1.99,125.5
2017,Mexico,Central America,4.87,341.0,1.9,112.3
2018,Mexico,Central America,4.64,364.9,1.83,121.7
2019,Mexico,Central America,4.57,308.4,1.87,110.9
2020,Mexico,Central America,4.35,272.2,1.94,100.7
2021,Mexico,Central America,4.11,398.9,1.97,154.1
2022,Mexico,Central America,3.88,373.1,1.88,150.2
2023,Mexico,Central America,4.0,278.8,1.97,112.8
2000,Uganda,Africa,3.25,231.5,0.58,120.7
2001,Uganda,Africa,3.43,309.6,0.6,138.1
2002,Uganda,Africa,3.78,334.2,0.64,143.1
2003,Uganda,Africa,3.78,337.0,0.63,150.8
2004,Uganda,Africa,3.91,400.5,0.62,160.0
2005,Uganda,Africa,3.98,394.0,0.63,168.3
2006,Uganda,Africa,4.15,404.2,0.6,167.4
2007,Uganda,Africa,4.32,452.2,0.62,171.8
2008,Uganda,Africa,4.25,466.4,0.59,167.5
2009,Uganda,Africa,4.27,401.0,0.69,158.8
2010,Uganda,Africa,4.45,462.3,0.63,161.3
2011,Uganda,Africa,4.64,572.1,0.67,194.6
2012,Uganda,Africa,4.84,443.9,0.68,149.2
2013,Uganda,Africa,4.8,432.9,0.7,140.1
2014,Uganda,Africa,4.84,333.8,0.71,125.3
2015,Uganda,Africa,4.86,369.3,0.64,129.2
2016,Uganda,Africa,5.02,385.4,0.75,118.3
2017,Uganda,Africa,5.1,356.1,0.68,114.7
2018,Uganda,Africa,5.18,344.7,0.68,109.0
2019,Uganda,Africa,4.97,386.6,0.75,115.2
2020,Uganda,Africa,5.06,305.1,0.74,93.4
2021,Uganda,Africa,5.07,520.3,0.74,155.8
2022,Uganda,Africa,5.43,558.5,0.74,160.9
2023,Uganda,Africa,5.7,395.3,0.72,111.4
2000,Vietnam,Southeast Asia,10.71,843.2,2.62,125.9
2001,Vietnam,Southeast Asia,10.57,985.3,2.66,144.3
2002,Vietnam,Southeast Asia,10.94,976.3,2.58,153.1
2003,Vietnam,Southeast Asia,11.24,1031.9,2.53,151.0
2004,Vietnam,Southeast Asia,11.82,1184.7,2.54,163.5
2005,Vietnam,Southeast Asia,12.21,1241.1,2.82,161.4
2006,Vietnam,Southeast Asia,13.21,1653.5,2.8,176.2
2007,Vietnam,Southeast Asia,13.92,1272.8,2.81,165.1
2008,Vietnam,Southeast Asia,14.3,1429.6,2.74,164.6
2009,Vietnam,Southeast Asia,14.61,1567.7,2.85,164.3
2010,Vietnam,Southeast Asia,15.95,1495.8,2.67,159.5
2011,Vietnam,Southeast Asia,16.1,1963.0,3.09,197.1
2012,Vietnam,Southeast Asia,16.84,1616.1,2.85,147.5
2013,Vietnam,Southeast Asia,17.94,1425.8,2.85,134.7
2014,Vietnam,Southeast Asia,18.68,1557.8,3.06,140.2
2015,Vietnam,Southeast Asia,19.89,1559.5,3.04,120.8
2016,Vietnam,Southeast Asia,20.15,1462.1,2.94,117.3
2017,Vietnam,Southeast Asia,21.08,1461.3,2.89,114.4
2018,Vietnam,Southeast Asia,21.0,1363.2,3.26,103.8
2019,Vietnam,Southeast Asia,21.98,1458.4,3.13,107.7
2020,Vietnam,Southeast Asia,23.38,1498.9,3.07,102.3
2021,Vietnam,Southeast Asia,23.92,2400.0,3.34,158.5
2022,Vietnam,Southeast Asia,25.52,2356.3,3.0,158.7
2023,Vietnam,Southeast Asia,27.5,2317.3,3.18,125.1
