date,city,pm25,pm10,no2,o3,co,aqi
2023-04-14,Delhi,139.3,231.4,81.7,23.7,9.4,194
2023-04-15,Delhi,108.1,202.6,48.5,24.8,7.24,178
2023-04-16,Delhi,122.0,229.8,79.3,9.2,10.9,185
2023-04-17,Delhi,137.4,229.6,77.1,17.4,12.51,193
2023-04-18,Delhi,110.5,197.5,72.7,33.7,10.74,179
2023-04-19,Delhi,114.0,175.3,80.7,24.6,7.14,181
2023-04-20,Delhi,119.0,175.0,83.7,31.2,10.93,184
2023-04-21,Delhi,141.9,212.9,80.9,16.2,7.12,196
2023-04-22,Delhi,125.4,232.6,69.1,16.0,10.71,187
2023-04-23,Delhi,94.2,156.7,38.6,34.4,9.74,171
2023-04-24,Delhi,89.8,164.3,58.4,13.1,6.93,169
2023-04-25,Delhi,96.6,160.6,44.0,19.4,4.07,172
2023-04-26,Delhi,71.8,137.1,48.5,47.7,3.86,159
2023-04-27,Delhi,111.9,204.4,60.1,19.0,7.11,180
2023-04-28,Delhi,87.1,153.0,51.3,29.7,5.15,167
2023-04-29,Delhi,87.0,148.7,48.1,23.9,8.49,167
2023-04-30,Delhi,112.5,198.9,55.2,30.2,7.94,180
2023-05-01,Delhi,86.9,168.5,55.3,22.7,8.59,167
2023-05-02,Delhi,67.4,123.0,42.0,37.4,6.5,157
2023-05-03,Delhi,124.8,233.3,79.5,26.5,7.05,187
2023-05-04,Delhi,74.1,140.5,47.0,27.1,4.77,161
2023-05-05,Delhi,103.7,188.6,51.5,41.7,9.37,176
2023-05-06,Delhi,62.9,110.8,37.9,32.0,3.56,155
2023-05-07,Delhi,106.3,157.8,64.6,11.9,5.74,177
2023-05-08,Delhi,79.0,127.3,47.6,14.5,7.68,163
2023-05-09,Delhi,50.2,68.5,29.0,38.1,3.28,137
2023-05-10,Delhi,131.9,219.2,69.1,10.4,9.24,190
2023-05-11,Delhi,90.2,176.8,38.5,38.0,8.66,169
2023-05-12,Delhi,89.7,144.5,58.0,30.2,7.59,169
2023-05-13,Delhi,75.0,146.0,38.8,43.2,4.13,161
2023-05-14,Delhi,67.9,125.8,31.5,27.6,3.63,157
2023-05-15,Delhi,73.9,120.8,38.4,32.3,6.56,160
2023-05-16,Delhi,69.3,107.6,37.1,33.8,4.39,158
2023-05-17,Delhi,91.7,131.3,43.3,24.0,7.68,170
2023-05-18,Delhi,103.1,172.0,45.0,39.0,9.83,176
2023-05-19,Delhi,110.3,187.3,75.0,25.0,8.21,179
2023-05-20,Delhi,129.2,237.8,84.0,12.4,11.3,189
2023-05-21,Delhi,62.3,121.4,38.4,31.6,3.48,154
2023-05-22,Delhi,86.9,130.4,52.4,34.4,6.63,167
2023-05-23,Delhi,42.9,78.1,18.3,41.9,3.03,119
2023-05-24,Delhi,132.1,255.0,66.5,26.6,8.09,191
2023-05-25,Delhi,122.1,234.8,55.1,23.8,7.36,185
2023-05-26,Delhi,68.1,121.7,35.2,11.9,5.54,158
2023-05-27,Delhi,47.8,89.4,19.0,42.1,3.46,131
2023-05-28,Delhi,49.9,77.0,21.1,30.4,3.73,136
2023-05-29,Delhi,119.3,193.1,52.7,38.7,11.18,184
2023-05-30,Delhi,112.4,216.0,53.4,23.5,10.54,180
2023-05-31,Delhi,94.5,156.3,54.9,28.6,5.83,171
2023-06-01,Delhi,159.9,298.6,70.5,18.2,11.21,210
2023-06-02,Delhi,65.2,121.5,42.9,33.1,5.36,156
2023-06-03,Delhi,63.4,118.7,33.0,21.8,6.05,155
2023-06-04,Delhi,62.7,121.5,25.8,33.2,6.03,155
2023-06-05,Delhi,111.6,207.4,58.5,31.6,10.12,180
2023-06-06,Delhi,58.9,119.3,25.2,31.3,3.26,153
2023-06-07,Delhi,17.8,27.9,1.9,27.0,0.65,63
2023-06-08,Delhi,115.6,214.3,65.3,20.1,8.55,182
2023-06-09,Delhi,65.0,101.7,32.4,48.9,6.1,156
2023-06-10,Delhi,68.0,138.8,29.9,32.0,4.14,157
2023-06-11,Delhi,66.3,94.3,31.9,37.8,4.79,157
2023-06-12,Delhi,91.2,161.5,41.0,24.5,4.9,169
2023-06-13,Delhi,79.5,137.1,46.3,39.3,6.12,163
2023-06-14,Delhi,66.1,128.4,38.5,30.4,4.31,156
2023-06-15,Delhi,22.8,32.7,12.4,43.0,1.35,74
2023-06-16,Delhi,40.9,75.6,18.4,36.3,3.38,114
2023-06-17,Delhi,60.4,93.7,34.7,18.6,4.33,154
2023-06-18,Delhi,43.7,100.1,16.9,46.6,3.61,121
2023-06-19,Delhi,92.6,187.6,49.5,17.3,5.92,170
2023-06-20,Delhi,60.0,88.1,39.1,18.6,5.87,153
2023-06-21,Delhi,122.0,208.9,81.5,27.3,11.53,185
2023-06-22,Delhi,36.8,65.2,26.9,27.1,1.75,104
2023-06-23,Delhi,59.9,99.7,39.6,26.7,2.75,153
2023-06-24,Delhi,80.4,142.3,47.8,25.5,4.79,164
2023-06-25,Delhi,61.2,109.5,22.1,31.5,4.35,154
2023-06-26,Delhi,23.0,30.7,12.8,43.3,2.1,74
2023-06-27,Delhi,69.7,137.3,35.5,34.1,4.84,158
2023-06-28,Delhi,50.1,75.7,30.6,32.4,4.0,137
2023-06-29,Delhi,60.9,117.5,37.9,25.7,4.84,154
2023-06-30,Delhi,22.7,36.7,9.7,40.8,1.33,73
2023-07-01,Delhi,22.6,34.9,12.9,40.9,1.22,73
2023-07-02,Delhi,35.3,61.5,25.1,32.0,3.22,100
2023-07-03,Delhi,41.4,61.6,24.3,33.9,3.77,116
2023-07-04,Delhi,66.6,116.0,31.4,37.5,3.7,157
2023-07-05,Delhi,82.9,126.6,48.3,34.6,4.57,165
2023-07-06,Delhi,35.7,40.9,15.4,37.8,2.24,101
2023-07-07,Delhi,51.9,98.0,21.8,22.7,3.41,141
2023-07-08,Delhi,35.4,68.4,22.8,33.0,3.92,500
2023-07-09,Delhi,6.9,15.2,1.4,38.3,1.02,29
2023-07-10,Delhi,74.5,137.0,43.6,22.8,4.33,161
2023-07-11,Delhi,103.8,189.2,44.3,18.0,7.38,176
2023-07-12,Delhi,88.0,157.9,43.7,32.5,5.87,168
2023-07-13,Delhi,91.3,152.7,52.6,31.4,7.59,169
2023-07-14,Delhi,32.5,69.4,23.5,39.2,2.52,94
2023-07-15,Delhi,50.8,79.6,21.1,37.0,3.22,139
2023-07-16,Delhi,33.4,63.4,22.4,30.3,3.52,96
2023-07-17,Delhi,27.3,49.7,19.5,27.6,2.36,83
2023-07-18,Delhi,63.7,118.4,33.3,30.6,6.67,155
2023-07-19,Delhi,84.0,150.2,45.7,30.0,7.85,166
2023-07-20,Delhi,47.7,65.6,22.0,26.0,4.42,131
2023-07-21,Delhi,9.9,12.4,6.3,40.7,1.22,41
2023-07-22,Delhi,16.6,36.1,5.8,34.0,0.67,60
2023-07-23,Delhi,1.0,3.0,3.3,53.3,0.1,4
2023-07-24,Delhi,6.4,18.5,1.1,59.5,0.59,27
2023-07-25,Delhi,31.7,66.7,22.7,30.3,3.3,92
2023-07-26,Delhi,27.9,42.7,16.1,43.5,1.11,84
2023-07-27,Delhi,76.7,117.1,27.1,32.3,5.97,162
2023-07-28,Delhi,22.1,49.5,13.4,29.0,2.63,72
2023-07-29,Delhi,1.0,1.0,1.0,35.6,0.46,4
2023-07-30,Delhi,50.9,82.2,28.4,28.1,3.15,139
2023-07-31,Delhi,52.0,80.0,32.9,39.4,3.4,142
2023-08-01,Delhi,23.9,46.3,14.0,34.8,1.68,76
2023-08-02,Delhi,47.5,81.7,23.0,28.7,2.52,130
2023-08-03,Delhi,1.0,6.1,1.0,44.0,0.1,4
2023-08-04,Delhi,36.6,63.7,13.1,23.8,4.82,104
2023-08-05,Delhi,1.0,7.4,1.0,33.4,0.6,4
2023-08-06,Delhi,122.8,193.3,53.7,24.6,7.55,186
2023-08-07,Delhi,23.7,22.9,17.5,43.7,2.62,75
2023-08-08,Delhi,25.2,44.8,14.0,31.0,2.22,79
2023-08-09,Delhi,37.3,55.0,19.0,47.4,2.07,105
2023-08-10,Delhi,72.5,129.5,40.5,21.3,6.0,160
2023-08-11,Delhi,44.8,90.3,31.2,21.8,3.06,124
2023-08-12,Delhi,85.9,153.9,61.8,17.4,7.34,167
2023-08-13,Delhi,25.9,55.2,16.4,32.9,1.68,80
2023-08-14,Delhi,81.9,139.4,31.6,29.2,6.28,165
2023-08-15,Delhi,57.2,116.2,31.2,34.8,4.79,152
2023-08-16,Delhi,52.5,85.0,40.1,25.7,5.17,143
2023-08-17,Delhi,65.7,128.5,36.4,29.2,4.75,156
2023-08-18,Delhi,1.0,1.0,1.0,35.3,0.1,4
2023-08-19,Delhi,96.3,174.1,59.4,22.1,7.1,172
2023-08-20,Delhi,52.3,75.9,35.3,28.9,5.07,142
2023-08-21,Delhi,89.2,158.1,46.4,21.2,5.12,168
2023-08-22,Delhi,24.2,49.5,16.9,26.7,2.73,77
2023-08-23,Delhi,84.6,141.1,48.5,26.4,6.67,166
2023-08-24,Delhi,63.2,95.6,39.0,28.7,6.08,155
2023-08-25,Delhi,81.2,151.0,49.3,36.5,7.75,164
2023-08-26,Delhi,39.8,63.7,22.6,19.0,3.03,112
2023-08-27,Delhi,20.3,32.7,11.3,50.6,2.29,68
2023-08-28,Delhi,48.4,73.9,23.8,35.5,3.28,133
2023-08-29,Delhi,97.9,192.4,47.9,30.7,7.19,173
2023-08-30,Delhi,58.9,105.4,37.1,40.9,5.89,153
2023-08-31,Delhi,72.5,104.5,43.9,27.7,7.81,160
2023-09-01,Delhi,89.3,153.5,43.1,23.1,3.57,168
2023-09-02,Delhi,42.6,81.2,17.1,32.9,2.99,119
2023-09-03,Delhi,36.0,61.8,20.8,38.4,3.7,102
2023-09-04,Delhi,68.7,109.3,39.2,23.3,5.17,158
2023-09-05,Delhi,106.6,193.8,51.6,30.7,9.04,177
2023-09-06,Delhi,27.7,57.5,17.6,37.0,1.82,84
2023-09-07,Delhi,57.6,104.8,28.2,24.3,3.93,152
2023-09-08,Delhi,73.0,112.8,37.5,32.6,6.71,160
2023-09-09,Delhi,8.1,15.7,5.4,41.8,0.77,34
2023-09-10,Delhi,26.5,40.5,13.6,21.0,1.11,81
2023-09-11,Delhi,101.6,194.3,63.0,39.5,6.11,175
2023-09-12,Delhi,110.6,187.2,71.6,25.5,9.69,179
2023-09-13,Delhi,60.7,115.3,32.1,23.0,4.28,154
2023-09-14,Delhi,49.3,94.8,28.8,43.8,3.23,135
2023-09-15,Delhi,62.0,107.5,36.4,45.8,3.3,154
2023-09-16,Delhi,51.0,89.3,33.8,31.5,2.08,139
2023-09-17,Delhi,55.1,82.0,31.6,31.0,5.32,149
2023-09-18,Delhi,121.5,244.0,58.8,25.4,8.68,185
2023-09-19,Delhi,26.2,49.9,23.1,34.3,2.32,81
2023-09-20,Delhi,64.7,95.8,26.6,36.3,5.03,156
2023-09-21,Delhi,56.1,89.1,38.3,33.9,4.85,151
2023-09-22,Delhi,53.5,93.3,30.0,20.0,3.42,145
2023-09-23,Delhi,123.7,240.9,52.9,16.1,12.05,186
2023-09-24,Delhi,82.8,144.0,49.2,37.7,5.64,165
2023-09-25,Delhi,71.7,110.8,50.5,38.8,6.16,159
2023-09-26,Delhi,111.2,178.4,47.5,32.4,10.2,180
2023-09-27,Delhi,125.7,223.9,51.6,36.8,10.71,187
2023-09-28,Delhi,73.5,123.3,35.4,35.9,4.18,160
2023-09-29,Delhi,123.4,189.7,78.3,24.9,10.62,186
2023-09-30,Delhi,112.0,219.0,65.4,16.1,5.22,180
2023-10-01,Delhi,28.2,39.3,17.2,36.0,2.14,85
2023-10-02,Delhi,101.0,187.6,57.0,18.7,6.66,175
2023-10-03,Delhi,83.2,167.6,40.7,15.2,6.76,165
2023-10-04,Delhi,105.0,177.6,53.3,25.7,8.0,177
2023-10-05,Delhi,109.9,206.5,68.2,25.4,9.04,179
2023-10-06,Delhi,117.1,189.1,62.2,19.2,9.23,183
2023-10-07,Delhi,82.7,133.9,54.4,20.7,5.12,165
2023-10-08,Delhi,42.8,78.0,21.9,35.1,2.95,119
2023-10-09,Delhi,131.4,261.7,70.3,32.8,10.53,190
2023-10-10,Delhi,138.8,281.4,87.5,20.8,9.11,194
2023-10-11,Delhi,102.4,185.8,69.0,5.0,7.47,175
2023-10-12,Delhi,95.5,154.8,38.3,37.3,8.5,172
2023-10-13,Delhi,127.6,238.6,59.1,28.6,9.07,188
2023-10-14,Delhi,99.6,181.7,45.7,38.2,8.63,174
2023-10-15,Delhi,84.7,136.5,36.2,13.3,7.83,166
2023-10-16,Delhi,109.7,186.5,64.4,29.8,5.81,179
2023-10-17,Delhi,116.4,198.9,76.9,23.5,12.27,182
2023-10-18,Delhi,138.9,219.7,66.9,31.6,9.86,194
2023-10-19,Delhi,79.3,158.5,51.0,9.9,4.7,163
2023-10-20,Delhi,117.9,212.7,64.0,24.2,11.47,183
2023-10-21,Delhi,74.8,118.8,43.0,31.9,5.0,161
2023-10-22,Delhi,110.2,192.3,63.9,13.4,10.43,179
2023-10-23,Delhi,69.3,133.1,31.2,20.9,6.7,158
2023-10-24,Delhi,77.2,136.1,46.1,25.6,8.07,162
2023-10-25,Delhi,69.7,112.5,28.1,33.1,4.51,158
2023-10-26,Delhi,79.7,139.3,46.6,22.7,8.17,163
2023-10-27,Delhi,111.3,219.6,69.9,22.6,8.94,180
2023-10-28,Delhi,121.9,217.1,59.2,24.6,9.45,185
2023-10-29,Delhi,95.0,147.0,49.0,29.5,5.56,171
2023-10-30,Delhi,118.9,206.6,70.1,17.0,7.64,184
2023-10-31,Delhi,85.0,150.2,57.1,30.5,4.98,166
2023-11-01,Delhi,97.8,159.8,66.1,17.7,6.08,173
2023-11-02,Delhi,129.6,213.2,70.6,25.0,12.71,189
2023-11-03,Delhi,109.4,206.3,74.2,31.0,9.55,179
2023-11-04,Delhi,2.0,1.0,2.1,36.8,0.33,8
2023-11-05,Delhi,28.8,56.0,22.5,27.1,2.08,86
2023-11-06,Delhi,152.2,286.0,81.2,22.7,6.74,203
2023-11-07,Delhi,107.9,168.9,45.2,14.6,9.27,178
2023-11-08,Delhi,175.6,295.9,110.3,10.0,16.13,226
2023-11-09,Delhi,124.7,230.9,74.8,14.8,10.89,187
2023-11-10,Delhi,126.5,230.0,57.4,28.8,7.38,188
2023-11-11,Delhi,171.6,304.7,118.3,21.4,15.12,222
2023-11-12,Delhi,110.3,207.1,54.5,19.2,7.69,179
2023-11-13,Delhi,159.8,301.7,90.8,21.4,11.26,210
2023-11-14,Delhi,131.5,244.2,85.5,19.8,8.35,190
2023-11-15,Delhi,175.3,313.7,121.0,8.4,14.94,226
2023-11-16,Delhi,157.6,288.7,72.6,7.4,14.24,208
2023-11-17,Delhi,182.3,299.3,110.7,14.7,17.41,232
2023-11-18,Delhi,97.8,155.6,53.3,35.1,6.44,173
2023-11-19,Delhi,101.7,178.8,50.3,20.4,10.58,175
2023-11-20,Delhi,187.7,339.1,113.4,9.5,11.71,238
2023-11-21,Delhi,164.5,252.1,90.7,7.9,13.97,215
2023-11-22,Delhi,206.1,337.4,93.2,5.0,13.21,256
2023-11-23,Delhi,162.2,292.6,67.0,13.5,13.72,213
2023-11-24,Delhi,194.3,321.5,115.5,5.0,12.81,244
2023-11-25,Delhi,152.4,302.1,67.5,19.9,10.0,203
2023-11-26,Delhi,144.3,264.3,82.8,15.7,13.31,197
2023-11-27,Delhi,193.1,306.2,116.1,9.6,10.71,243
2023-11-28,Delhi,165.9,282.7,97.6,15.2,13.34,216
2023-11-29,Delhi,122.3,230.5,53.1,19.8,10.28,185
2023-11-30,Delhi,135.7,220.1,82.0,32.6,7.84,192
2023-12-01,Delhi,177.6,351.6,101.5,5.0,15.56,228
2023-12-02,Delhi,177.6,275.9,101.6,5.0,12.3,228
2023-12-03,Delhi,136.0,261.1,68.9,25.1,10.79,193
2023-12-04,Delhi,103.8,186.7,57.9,18.9,7.74,176
2023-12-05,Delhi,150.8,282.9,71.3,15.1,8.34,201
2023-12-06,Delhi,135.2,265.2,61.5,11.7,7.89,192
2023-12-07,Delhi,255.5,435.1,130.8,6.1,16.14,305
2023-12-08,Delhi,126.8,221.1,69.2,9.8,11.79,188
2023-12-09,Delhi,157.8,306.8,104.7,7.3,8.66,208
2023-12-10,Delhi,146.7,268.8,65.1,18.9,9.39,198
2023-12-11,Delhi,148.4,224.1,76.5,21.2,9.17,199
2023-12-12,Delhi,152.5,251.7,86.3,27.9,11.77,203
2023-12-13,Delhi,144.9,256.2,76.8,25.7,11.23,197
2023-12-14,Delhi,144.0,219.9,86.3,14.6,13.0,197
2023-12-15,Delhi,173.2,288.9,78.1,5.1,13.55,223
2023-12-16,Delhi,158.5,240.0,108.5,19.1,11.94,209
2023-12-17,Delhi,166.7,284.5,73.4,14.5,11.43,217
2023-12-18,Delhi,201.9,354.5,104.1,7.4,20.83,252
2023-12-19,Delhi,117.9,192.9,57.7,20.8,8.95,183
2023-12-20,Delhi,166.2,307.1,87.2,17.2,9.62,217
2023-12-21,Delhi,188.8,364.4,118.4,23.0,11.3,239
2023-12-22,Delhi,221.3,412.0,146.2,9.6,19.57,271
2023-12-23,Delhi,187.0,369.0,104.2,15.1,13.29,237
2023-12-24,Delhi,164.3,257.6,74.0,22.2,12.3,215
2023-12-25,Delhi,149.6,293.4,87.4,24.4,12.71,200
2023-12-26,Delhi,175.6,313.4,77.6,5.6,14.36,226
2023-12-27,Delhi,203.0,381.0,126.5,14.2,10.57,253
2023-12-28,Delhi,220.9,380.9,86.3,5.0,21.55,271
2023-12-29,Delhi,168.3,331.9,118.6,17.3,10.16,219
2023-12-30,Delhi,141.7,223.0,95.0,18.0,7.75,196
2023-12-31,Delhi,137.0,258.5,81.3,9.0,9.1,193
2023-01-01,Beijing,129.3,198.3,76.8,28.3,10.42,189
2023-01-02,Beijing,150.7,283.3,77.8,29.6,9.61,201
2023-01-03,Beijing,151.3,299.0,63.8,26.3,13.25,202
2023-01-04,Beijing,132.7,229.8,76.7,32.0,12.88,191
2023-01-05,Beijing,115.7,218.6,59.9,25.9,8.74,182
2023-01-06,Beijing,161.8,275.2,96.2,18.5,8.51,212
2023-01-07,Beijing,147.6,275.0,103.0,10.0,11.87,199
2023-01-08,Beijing,120.4,191.5,86.7,34.5,7.75,185
2023-01-09,Beijing,144.4,254.7,97.0,17.0,12.65,197
2023-01-10,Beijing,170.6,337.7,70.5,21.0,17.43,221
2023-01-11,Beijing,145.2,219.8,100.0,21.0,14.23,197
2023-01-12,Beijing,143.1,216.1,65.8,6.1,8.23,196
2023-01-13,Beijing,136.7,253.7,61.1,16.4,8.98,193
2023-01-14,Beijing,103.2,166.6,65.1,17.1,8.66,176
2023-01-15,Beijing,110.9,195.7,64.6,14.0,9.01,180
2023-01-16,Beijing,145.9,216.0,81.2,13.7,7.12,198
2023-01-17,Beijing,90.2,177.2,59.6,23.2,7.34,169
2023-01-18,Beijing,141.2,229.9,77.1,32.4,10.26,195
2023-01-19,Beijing,174.0,327.3,90.5,10.0,10.58,224
2023-01-20,Beijing,195.7,349.5,117.0,5.0,12.98,246
2023-01-21,Beijing,124.4,219.1,55.4,24.9,7.78,187
2023-01-22,Beijing,86.6,147.2,53.2,25.2,6.94,167
2023-01-23,Beijing,159.4,247.6,76.2,13.2,10.34,210
2023-01-24,Beijing,160.9,307.9,65.4,11.2,9.21,211
2023-01-25,Beijing,146.7,218.3,67.2,17.4,11.2,198
2023-01-26,Beijing,132.0,232.5,68.3,31.3,11.76,191
2023-01-27,Beijing,119.2,213.2,66.6,16.9,6.17,184
2023-01-28,Beijing,61.3,126.3,27.3,27.4,3.92,154
2023-01-29,Beijing,90.9,147.1,54.8,37.8,4.81,169
2023-01-30,Beijing,128.0,239.2,72.4,26.1,7.59,188
2023-01-31,Beijing,149.5,240.8,102.7,21.6,9.56,200
2023-02-01,Beijing,185.2,312.2,118.5,19.9,12.36,235
2023-02-02,Beijing,171.4,307.5,90.7,7.7,15.1,222
2023-02-03,Beijing,161.2,245.8,69.9,6.6,9.24,212
2023-02-04,Beijing,124.0,216.2,69.4,28.0,10.19,186
2023-02-05,Beijing,87.9,158.3,61.9,18.0,5.34,168
2023-02-06,Beijing,131.8,226.4,56.7,22.1,9.35,190
2023-02-07,Beijing,96.0,172.2,53.6,26.5,6.87,172
2023-02-08,Beijing,174.7,344.7,108.1,12.1,12.02,225
2023-02-09,Beijing,139.9,250.7,80.0,23.8,7.43,195
2023-02-10,Beijing,194.6,303.2,91.4,10.3,13.34,245
2023-02-11,Beijing,99.5,170.0,59.6,12.7,6.98,174
2023-02-12,Beijing,120.3,202.8,73.0,13.3,6.21,184
2023-02-13,Beijing,103.3,184.1,51.8,20.8,9.02,176
2023-02-14,Beijing,84.9,141.1,48.8,27.1,5.72,166
