tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,has_tech_support,has_online_security,internet_service,payment_method,num_dependents,satisfaction_score,churned
27.1,54.43,1392.83,1,two-year,1,1,Fiber optic,Credit card,0,7.45,0
1.8,83.93,155.33,1,two-year,1,1,DSL,Electronic check,0,4.77,0
9.9,100.51,1026.8,3,month-to-month,1,0,DSL,Credit card,0,4.82,1
11.9,99.73,1093.5,3,two-year,1,1,DSL,Electronic check,2,5.76,0
41.5,44.72,1814.74,0,month-to-month,1,0,None,Bank transfer,0,5.41,0
17.6,99.95,1578.85,3,two-year,1,0,Fiber optic,Credit card,0,5.89,0
3.7,68.68,241.64,5,one-year,1,1,None,Credit card,1,7.55,0
19.2,60.26,1041.08,1,one-year,1,1,None,Bank transfer,1,10.0,0
22.1,48.74,1038.15,1,one-year,0,1,Fiber optic,Electronic check,2,5.32,0
13.2,53.2,621.95,1,one-year,0,0,DSL,Electronic check,2,4.52,0
8.5,122.27,1074.57,1,two-year,0,0,None,Bank transfer,0,6.52,0
72.0,79.22,5860.2,4,month-to-month,0,1,DSL,Bank transfer,1,4.8,0
36.0,75.24,2485.15,1,two-year,0,1,None,Credit card,2,3.23,0
38.2,62.13,2384.97,3,month-to-month,0,0,Fiber optic,Credit card,1,8.63,1
17.7,143.38,2201.9,0,month-to-month,0,0,DSL,Credit card,1,6.66,1
11.5,109.15,1250.02,2,one-year,0,0,Fiber optic,Bank transfer,0,6.86,1
13.7,48.37,602.74,2,one-year,1,0,Fiber optic,Bank transfer,0,2.65,1
6.0,61.79,326.08,1,two-year,1,0,Fiber optic,Bank transfer,1,5.33,0
55.8,63.57,3495.96,3,month-to-month,0,1,Fiber optic,Electronic check,1,3.67,1
18.2,74.38,1279.04,2,month-to-month,1,0,DSL,Mailed check,1,6.46,0
47.8,48.96,2238.55,3,month-to-month,1,1,Fiber optic,Electronic check,0,6.77,0
14.3,83.16,1133.52,2,two-year,1,0,Fiber optic,Mailed check,0,6.77,0
27.4,113.56,2682.33,2,two-year,0,0,None,Electronic check,0,5.17,0
23.0,30.59,604.63,0,two-year,0,0,None,Credit card,1,4.79,0
5.4,36.16,189.79,2,month-to-month,0,1,Fiber optic,Credit card,0,6.11,0
60.4,55.51,3265.24,0,two-year,1,0,None,Bank transfer,2,7.21,0
14.6,56.9,715.47,1,month-to-month,1,1,Fiber optic,Mailed check,2,5.34,0
7.3,129.95,876.34,1,two-year,1,0,DSL,Electronic check,2,4.63,1
31.7,100.05,3085.94,0,one-year,1,0,DSL,Bank transfer,1,4.71,0
19.9,98.33,1922.24,0,month-to-month,1,1,None,Electronic check,1,5.18,1
25.7,62.07,1620.07,3,one-year,0,0,Fiber optic,Electronic check,0,5.59,0
21.4,61.41,1229.73,4,one-year,1,0,None,Electronic check,0,4.3,0
2.1,26.45,52.92,3,month-to-month,1,1,Fiber optic,Mailed check,1,5.61,0
9.6,93.45,864.08,2,month-to-month,0,0,DSL,Bank transfer,0,8.97,1
9.2,84.73,714.9,0,one-year,1,0,Fiber optic,Mailed check,0,5.91,0
37.8,108.58,3533.71,1,two-year,0,1,Fiber optic,Credit card,0,4.02,0
20.5,63.68,1109.47,3,one-year,0,0,Fiber optic,Bank transfer,1,1.98,1
28.6,65.75,1910.25,1,month-to-month,1,0,None,Credit card,0,10.0,0
15.3,75.1,1025.45,0,one-year,0,1,Fiber optic,Mailed check,0,8.78,0
29.5,96.76,2790.54,1,month-to-month,0,1,Fiber optic,Mailed check,2,7.07,0
17.7,25.89,442.48,1,month-to-month,1,0,Fiber optic,Electronic check,0,8.83,1
16.7,92.08,1432.46,1,month-to-month,0,0,DSL,Electronic check,0,7.56,1
22.9,69.39,1612.78,3,month-to-month,0,1,None,Electronic check,0,6.35,1
21.4,38.24,811.23,0,month-to-month,0,1,DSL,Electronic check,1,4.02,1
72.0,15.0,922.91,0,month-to-month,0,0,Fiber optic,Credit card,1,10.0,0
9.5,65.91,628.11,1,month-to-month,0,0,Fiber optic,Bank transfer,1,5.63,0
4.8,113.43,519.75,2,one-year,0,0,DSL,Bank transfer,1,5.74,1
25.3,120.24,2796.75,1,month-to-month,1,0,Fiber optic,Mailed check,1,6.57,1
10.7,80.66,858.92,0,month-to-month,0,1,Fiber optic,Bank transfer,0,6.61,0
1.8,128.86,225.07,1,month-to-month,0,1,Fiber optic,Bank transfer,0,7.65,1
7.6,68.71,479.02,2,one-year,0,0,Fiber optic,Credit card,0,7.42,1
72.0,98.6,7430.01,0,two-year,0,1,DSL,Credit card,0,5.35,0
9.3,56.46,512.21,1,month-to-month,1,1,DSL,Bank transfer,1,6.55,0
3.3,54.56,172.65,1,one-year,0,1,Fiber optic,Credit card,1,7.59,1
72.0,49.67,3090.08,0,two-year,0,1,Fiber optic,Bank transfer,1,5.18,0
7.4,15.0,100.09,1,one-year,0,0,Fiber optic,Credit card,0,9.39,0
72.0,108.61,7346.18,1,month-to-month,0,1,DSL,Bank transfer,0,6.46,0
14.8,50.75,734.19,2,month-to-month,0,0,DSL,Credit card,0,9.7,1
60.5,45.96,2649.03,2,month-to-month,0,0,Fiber optic,Electronic check,0,3.72,1
16.4,34.6,570.17,1,month-to-month,0,0,None,Electronic check,1,7.81,1
27.5,63.87,1586.32,2,month-to-month,0,0,Fiber optic,Mailed check,0,4.72,1
18.0,122.9,2190.83,1,two-year,0,1,Fiber optic,Credit card,0,5.23,0
16.5,132.81,2224.98,0,month-to-month,1,0,Fiber optic,Credit card,1,8.31,0
23.8,20.17,481.92,1,month-to-month,0,0,Fiber optic,Mailed check,0,6.04,0
28.2,59.37,1682.94,2,two-year,0,0,Fiber optic,Mailed check,0,10.0,0
22.5,38.97,901.33,2,one-year,0,0,DSL,Mailed check,2,7.54,0
20.8,99.65,1799.72,1,month-to-month,0,0,Fiber optic,Electronic check,1,5.11,1
10.8,78.6,837.94,1,two-year,0,0,DSL,Bank transfer,0,7.54,0
18.5,50.9,984.5,3,month-to-month,0,1,DSL,Credit card,2,6.03,0
55.6,72.18,3872.69,0,month-to-month,0,1,DSL,Credit card,1,8.16,0
10.4,55.68,515.11,1,month-to-month,0,0,DSL,Electronic check,2,5.91,1
24.3,118.43,3024.04,4,month-to-month,0,1,DSL,Mailed check,0,7.31,0
44.7,86.41,3418.82,1,two-year,1,0,DSL,Bank transfer,0,6.9,0
28.4,90.09,2346.49,1,month-to-month,1,0,DSL,Bank transfer,0,6.66,1
38.1,15.0,505.22,2,two-year,0,0,DSL,Bank transfer,0,8.58,0
7.3,68.0,465.35,0,month-to-month,1,0,DSL,Bank transfer,0,2.89,0
24.4,132.5,3015.1,0,two-year,0,0,DSL,Mailed check,1,6.7,0
15.8,109.78,1645.5,3,month-to-month,0,1,None,Mailed check,1,5.1,1
16.3,15.0,253.9,0,two-year,0,0,Fiber optic,Electronic check,0,3.8,0
52.6,60.6,3011.61,2,month-to-month,1,0,DSL,Bank transfer,0,4.82,0
16.6,33.95,535.51,3,two-year,0,0,Fiber optic,Mailed check,0,5.26,0
24.9,121.33,3109.38,3,two-year,1,1,Fiber optic,Mailed check,1,6.03,0
3.3,77.33,255.73,2,one-year,1,1,DSL,Credit card,0,7.17,0
60.5,46.97,2550.17,2,month-to-month,0,0,Fiber optic,Credit card,0,7.58,0
36.6,71.02,2215.64,0,one-year,0,0,DSL,Credit card,2,5.68,0
19.1,15.0,279.08,3,one-year,0,1,Fiber optic,Electronic check,0,9.67,0
15.3,37.45,582.09,2,one-year,1,0,Fiber optic,Credit card,1,5.76,0
30.5,71.09,2079.6,0,one-year,0,0,Fiber optic,Bank transfer,1,2.61,0
44.3,95.37,3773.65,1,two-year,0,1,DSL,Electronic check,0,5.81,0
61.0,15.0,913.54,2,two-year,0,0,DSL,Mailed check,0,6.59,0
35.8,58.57,2060.87,2,month-to-month,1,0,None,Electronic check,0,0.0,1
21.0,100.29,2032.9,4,month-to-month,1,0,Fiber optic,Mailed check,1,8.91,1
39.6,26.46,1070.92,1,month-to-month,0,0,Fiber optic,Bank transfer,1,6.3,0
34.7,76.88,2688.42,1,one-year,0,1,None,Mailed check,0,4.2,0
21.1,71.98,1494.59,3,two-year,0,0,Fiber optic,Bank transfer,1,4.58,1
34.0,121.43,4062.26,0,month-to-month,0,0,DSL,Credit card,1,8.02,1
33.6,63.1,2082.27,1,month-to-month,0,1,Fiber optic,Electronic check,1,8.27,0
19.0,64.85,1175.58,2,month-to-month,1,1,DSL,Credit card,2,5.2,0
13.0,95.65,1172.05,2,month-to-month,0,0,Fiber optic,Electronic check,1,3.79,0
31.6,30.21,946.66,1,two-year,0,0,Fiber optic,Electronic check,1,6.76,0
8.0,63.37,495.76,1,one-year,0,0,DSL,Electronic check,2,7.13,1
6.5,56.33,344.6,1,month-to-month,0,0,DSL,Electronic check,2,7.63,1
25.2,65.83,1454.09,1,month-to-month,0,0,Fiber optic,Mailed check,1,5.37,1
31.0,95.45,2929.71,1,month-to-month,1,1,Fiber optic,Credit card,2,6.26,0
25.1,86.62,2128.68,1,one-year,0,0,DSL,Bank transfer,0,6.54,0
27.1,47.54,1184.2,1,one-year,0,0,DSL,Mailed check,0,8.43,0
30.6,74.1,2090.46,2,month-to-month,0,0,Fiber optic,Credit card,2,9.16,0
52.7,114.71,5435.43,2,month-to-month,0,0,None,Mailed check,1,9.7,1
36.2,45.06,1699.84,1,two-year,1,0,Fiber optic,Electronic check,1,9.1,0
35.4,74.36,2693.31,1,two-year,1,0,Fiber optic,Electronic check,0,10.0,0
23.8,64.21,1472.13,3,one-year,1,1,Fiber optic,Bank transfer,0,8.53,0
24.5,68.11,1551.63,1,month-to-month,1,1,Fiber optic,Electronic check,0,5.32,0
17.8,21.08,374.25,1,two-year,1,0,DSL,Mailed check,0,9.57,0
26.5,112.32,2849.27,0,one-year,0,0,DSL,Mailed check,1,3.75,1
7.7,46.77,375.16,0,two-year,0,1,DSL,Mailed check,0,10.0,0
52.8,100.78,4586.0,1,month-to-month,1,1,None,Credit card,0,4.55,0
9.8,51.36,430.16,2,month-to-month,0,1,Fiber optic,Electronic check,0,8.28,0
36.1,51.23,1784.47,0,month-to-month,0,0,DSL,Electronic check,0,9.39,1
48.5,106.39,4592.15,0,two-year,1,0,Fiber optic,Mailed check,1,7.42,0
36.1,99.82,3496.58,0,one-year,0,0,DSL,Bank transfer,1,2.4,1
72.0,76.26,5525.23,2,month-to-month,0,1,Fiber optic,Mailed check,0,4.6,0
2.2,92.83,183.26,0,two-year,0,1,Fiber optic,Electronic check,1,7.21,0
13.7,61.34,789.22,1,two-year,0,0,None,Bank transfer,0,7.77,0
47.9,69.75,3301.39,2,month-to-month,0,1,Fiber optic,Bank transfer,1,6.14,1
6.2,50.15,316.2,3,one-year,0,1,None,Bank transfer,1,6.65,1
10.0,97.12,926.33,3,one-year,0,1,DSL,Bank transfer,1,3.56,1
29.3,49.2,1283.36,2,month-to-month,0,0,Fiber optic,Bank transfer,2,10.0,0
20.9,114.55,2310.46,1,one-year,0,0,None,Bank transfer,0,5.74,0
28.0,60.52,1594.22,0,month-to-month,0,1,DSL,Bank transfer,1,8.08,0
22.2,70.62,1575.88,1,two-year,0,0,Fiber optic,Credit card,2,9.31,1
23.8,92.76,2118.78,1,two-year,0,0,None,Mailed check,0,4.19,1
